province_id	province_name	alonhadat	batdongsan	nhatot	guland	mogi	total
12	Tây Ninh	6232	Bình Hòa	0	0	0	4	0	4
12	Tây Ninh	6234	Mộc Hóa	0	0	0	8	0	8
12	Tây Ninh	6239	Tân An	0	0	0	27	0	27
12	Tây Ninh	6241	Khánh Hậu	0	6	0	15	0	21
12	Tây Ninh	6251	Hưng Điền	0	0	0	1	0	1
12	Tây Ninh	6255	Vĩnh Thạnh	0	0	0	2	0	2
12	Tây Ninh	6266	Nhơn Hòa Lập	0	0	0	1	0	1
12	Tây Ninh	6267	Nhơn Ninh	0	0	0	1	0	1
12	Tây Ninh	6282	Vàm Cỏ	0	1	0	58	0	59
12	Tây Ninh	6284	Bình Thành	0	0	0	6	0	6
12	Tây Ninh	6285	Tân Tây	0	1	0	9	0	10
12	Tây Ninh	6288	Thạnh Phước	0	0	0	24	0	24
12	Tây Ninh	6297	Mỹ An	0	0	0	5	0	5
12	Tây Ninh	6300	Mỹ Thạnh	0	3	0	18	0	21
12	Tây Ninh	6302	Tân Long	0	1	0	4	0	5
12	Tây Ninh	6308	Tuyên Bình	0	0	0	1	0	1
12	Tây Ninh	8879	Long Chữ	9	0	2	19	0	30
12	Tây Ninh	8883	Long Thuận	11	0	0	8	0	19
12	Tây Ninh	8889	Hảo Đước	9	0	0	50	0	59
12	Tây Ninh	8890	Hòa Hội	3	0	0	21	0	24
12	Tây Ninh	8892	Trà Vong	0	0	0	22	0	22
12	Tây Ninh	8893	Ninh Điền	4	0	2	29	0	35
12	Tây Ninh	8894	Phước Vinh	10	0	0	24	0	34
12	Tây Ninh	8896	Thanh Điền	9	0	4	25	0	38
12	Tây Ninh	8901	Cầu Khởi	27	1	1	73	0	102
12	Tây Ninh	8903	Lộc Ninh	6	3	0	42	0	51
12	Tây Ninh	8908	Truông Mít	14	4	4	117	0	139
12	Tây Ninh	8913	Phước Thạnh	18	9	8	997	0	1032
12	Tây Ninh	8915	Thạnh Đức	10	1	1	76	0	88
12	Tây Ninh	8919	Hòa Thành	13	0	4	30	0	47
12	Tây Ninh	8926	Tân Lập	2	0	1	11	0	14
12	Tây Ninh	8929	Thạnh Bình	3	0	0	29	0	32
12	Tây Ninh	8934	Tân Đông	0	0	0	18	0	18
12	Tây Ninh	8937	Tân Hòa	0	2	1	29	0	32
12	Tây Ninh	8938	Tân Hội	2	0	2	56	0	60
12	Tây Ninh	8939	Tân Phú	10	0	1	75	0	86
12	Tây Ninh	8941	Tân Thành	1	1	0	31	0	33
12	Tây Ninh	8943	Bình Minh	27	3	6	124	0	160
12	Tây Ninh	8946	Ninh Thạnh	17	0	1	43	0	61
12	Tây Ninh	8953	An Tịnh	53	11	20	657	0	741
12	Tây Ninh	8957	Gia Lộc	25	11	12	281	0	329
12	Tây Ninh	8959	Phước Chỉ	0	0	0	5	0	5
12	Tây Ninh	20046	Thủ Thừa	0	4	0	74	0	78
12	Tây Ninh	20475	Long An	0	17	0	89	0	106
12	Tây Ninh	20477	Kiến Tường	0	0	0	11	0	11
12	Tây Ninh	20480	Bến Lức	0	76	0	311	0	387
12	Tây Ninh	20481	Cần Giuộc	0	32	0	187	0	219
12	Tây Ninh	20482	Cần Đước	0	5	0	124	0	129
12	Tây Ninh	20483	Tân Trụ	0	2	0	57	0	59
12	Tây Ninh	20484	Nhựt Tảo	0	4	0	68	0	72
12	Tây Ninh	20485	Đức Hòa	0	57	0	585	0	642
12	Tây Ninh	20487	Thạnh Hóa	0	0	0	5	0	5
12	Tây Ninh	20490	Tân Hưng	0	0	0	2	0	2
12	Tây Ninh	20730	Tân Ninh	43	4	10	88	0	145
12	Tây Ninh	20731	Long Hoa	16	0	8	87	0	111
12	Tây Ninh	20734	Trảng Bàng	65	6	10	498	0	579
12	Tây Ninh	20735	Hưng Thuận	8	2	1	242	0	253
12	Tây Ninh	20736	Bến Cầu	4	1	0	59	0	64
12	Tây Ninh	20737	Châu Thành	10	2	3	38	0	53
12	Tây Ninh	20738	Dương Minh Châu	4	5	4	129	0	142
12	Tây Ninh	20739	Gò Dầu	15	4	2	383	0	404
12	Tây Ninh	20740	Tân Biên	0	0	3	28	0	31
12	Tây Ninh	20741	Tân Châu	3	1	3	77	0	84
13	Sơn La	8712	Mộc Châu	0	2	0	0	0	2
13	Sơn La	8715	Thảo Nguyên	0	1	0	0	0	1
13	Sơn La	8721	Vân Sơn	0	3	0	0	0	3
13	Sơn La	8783	Chiềng Cơi	0	16	0	0	0	16
13	Sơn La	8792	Tô Hiệu	0	2	0	0	0	2
15	Quảng Trị	7752	Đồng Thuận	0	1	0	0	0	1
15	Quảng Trị	7757	Đồng Sơn	0	1	0	0	0	1
15	Quảng Trị	7759	Đồng Hới	0	3	0	0	0	3
15	Quảng Trị	7803	Ninh Châu	0	1	0	0	0	1
15	Quảng Trị	8463	Nam Đông Hà	0	3	0	0	0	3
15	Quảng Trị	8467	Cửa Việt	0	2	0	0	0	2
15	Quảng Trị	21411	Cam Lộ	0	1	0	0	0	1
15	Quảng Trị	21454	Cửa Tùng	0	2	1	0	0	3
16	Quảng Ninh	8297	Cẩm Phả	0	7	0	0	0	7
16	Quảng Ninh	8302	Quang Hanh	0	1	0	0	0	1
16	Quảng Ninh	8315	Mạo Khê	0	2	0	0	0	2
