province_id	province_name	ward_id	ward_name
5	Tuyên Quang	21077	Tân Trịnh
5	Tuyên Quang	3811	Tát Ngà
5	Tuyên Quang	10632	Thái Bình
5	Tuyên Quang	10537	Thái Hòa
5	Tuyên Quang	10547	Thái Sơn
5	Tuyên Quang	3884	Thắng Mố
5	Tuyên Quang	3791	Thàng Tín
5	Tuyên Quang	3843	Thanh Thủy
5	Tuyên Quang	3793	Thông Nguyên
5	Tuyên Quang	3844	Thuận Hòa
5	Tuyên Quang	20838	Thượng Lâm
5	Tuyên Quang	10565	Thượng Nông
5	Tuyên Quang	3845	Thượng Sơn
5	Tuyên Quang	21078	Tiên Nguyên
5	Tuyên Quang	21079	Tiên Yên
5	Tuyên Quang	10526	Tri Phú
5	Tuyên Quang	10527	Trung Hà
5	Tuyên Quang	10645	Trung Sơn
5	Tuyên Quang	3867	Trung Thịnh
5	Tuyên Quang	20848	Trường Sinh
5	Tuyên Quang	3847	Tùng Bá
5	Tuyên Quang	3826	Tùng Vài
5	Tuyên Quang	21085	Vị Xuyên
5	Tuyên Quang	3841	Việt Lâm
5	Tuyên Quang	3744	Vĩnh Tuy
5	Tuyên Quang	21086	Xín Mần
5	Tuyên Quang	21081	Xuân Giang
5	Tuyên Quang	10648	Xuân Vân
5	Tuyên Quang	3719	Yên Cường
5	Tuyên Quang	10572	Yên Hoa
5	Tuyên Quang	10532	Yên Lập
5	Tuyên Quang	21087	Yên Minh
5	Tuyên Quang	10533	Yên Nguyên
5	Tuyên Quang	10550	Yên Phú
5	Tuyên Quang	20857	Yên Sơn
5	Tuyên Quang	21084	Yên Thành
8	TP Huế	10110	A Lưới 1
8	TP Huế	21293	A Lưới 2
8	TP Huế	10118	A Lưới 3
8	TP Huế	10100	A Lưới 4
8	TP Huế	10114	A Lưới 5
8	TP Huế	10119	An Cựu
8	TP Huế	10162	Bình Điền
8	TP Huế	10198	Chân Mây - Lăng Cô
8	TP Huế	10217	Dương Nỗ
8	TP Huế	21375	Đan Điền
8	TP Huế	10115	Hóa Châu
8	TP Huế	10203	Hưng Lộc
8	TP Huế	10161	Hương An
8	TP Huế	10151	Hương Thủy
8	TP Huế	10171	Hương Trà
8	TP Huế	10178	Khe Tre
8	TP Huế	21290	Kim Long
8	TP Huế	10170	Kim Trà
8	TP Huế	21328	Lộc An
8	TP Huế	10182	Long Quảng
8	TP Huế	10223	Mỹ Thượng
8	TP Huế	21300	Nam Đông
8	TP Huế	10193	Phong Dinh
8	TP Huế	10196	Phong Điền
8	TP Huế	10221	Phong Phú
8	TP Huế	10191	Phong Quảng
8	TP Huế	10188	Phong Thái
8	TP Huế	10146	Phú Bài
8	TP Huế	10224	Phú Hồ
8	TP Huế	21331	Phú Lộc
8	TP Huế	10215	Phú Vang
8	TP Huế	10216	Phú Vinh
8	TP Huế	21289	Phú Xuân
8	TP Huế	10240	Quảng Điền
8	TP Huế	10150	Thanh Thủy
8	TP Huế	10225	Thuận An
8	TP Huế	10130	Thuận Hóa
8	TP Huế	10140	Thủy Xuân
8	TP Huế	10211	Vinh Lộc
8	TP Huế	10143	Vỹ Dạ
9	Thanh Hóa	9530	An Nông
9	Thanh Hóa	9173	Ba Đình
9	Thanh Hóa	8990	Bá Thước
9	Thanh Hóa	9447	Bát Mọt
9	Thanh Hóa	9568	Biện Thượng
9	Thanh Hóa	9015	Bỉm Sơn
9	Thanh Hóa	9468	Các Sơn
9	Thanh Hóa	9030	Cẩm Tân
9	Thanh Hóa	9031	Cẩm Thạch
9	Thanh Hóa	21007	Cẩm Thủy
9	Thanh Hóa	9033	Cẩm Tú
9	Thanh Hóa	9034	Cẩm Vân
9	Thanh Hóa	8991	Cổ Lũng
9	Thanh Hóa	9256	Công Chính
9	Thanh Hóa	9485	Đào Duy Từ
9	Thanh Hóa	8993	Điền Lư
9	Thanh Hóa	8994	Điền Quang
9	Thanh Hóa	9581	Định Hòa
9	Thanh Hóa	9588	Định Tân
9	Thanh Hóa	9155	Đồng Lương
9	Thanh Hóa	9403	Đông Quang
9	Thanh Hóa	9056	Đông Sơn
9	Thanh Hóa	9085	Đông Thành
9	Thanh Hóa	9051	Đông Tiến
9	Thanh Hóa	9537	Đồng Tiến
9	Thanh Hóa	9156	Giao An
9	Thanh Hóa	9067	Hà Long
9	Thanh Hóa	21023	Hà Trung
9	Thanh Hóa	9401	Hạc Thành
9	Thanh Hóa	9471	Hải Bình
9	Thanh Hóa	9469	Hải Lĩnh
9	Thanh Hóa	9397	Hàm Rồng
9	Thanh Hóa	21031	Hậu Lộc
9	Thanh Hóa	9288	Hiền Kiệt
9	Thanh Hóa	9178	Hồ Vương
9	Thanh Hóa	9088	Hoa Lộc
9	Thanh Hóa	9241	Hóa Quỳ
9	Thanh Hóa	9109	Hoằng Châu
9	Thanh Hóa	9116	Hoằng Giang
9	Thanh Hóa	9106	Hoằng Hóa
9	Thanh Hóa	9123	Hoằng Lộc
9	Thanh Hóa	9132	Hoằng Phú
9	Thanh Hóa	9138	Hoằng Sơn
9	Thanh Hóa	9143	Hoằng Thanh
9	Thanh Hóa	9145	Hoằng Tiến
9	Thanh Hóa	21027	Hoạt Giang
9	Thanh Hóa	9289	Hồi Xuân
9	Thanh Hóa	9542	Hợp Tiến
9	Thanh Hóa	9202	Kiên Thọ
9	Thanh Hóa	9361	Kim Tân
9	Thanh Hóa	9409	Lam Sơn
9	Thanh Hóa	9159	Linh Sơn
9	Thanh Hóa	21026	Lĩnh Toại
9	Thanh Hóa	9449	Luận Thành
9	Thanh Hóa	9450	Lương Sơn
9	Thanh Hóa	21041	Lưu Vệ
9	Thanh Hóa	9224	Mậu Lâm
9	Thanh Hóa	9205	Minh Sơn
9	Thanh Hóa	9165	Mường Chanh
9	Thanh Hóa	9171	Mường Lát
9	Thanh Hóa	9166	Mường Lý
9	Thanh Hóa	9304	Mường Mìn
9	Thanh Hóa	9305	Na Mèo
9	Thanh Hóa	9353	Nam Sầm Sơn
9	Thanh Hóa	9292	Nam Xuân
9	Thanh Hóa	9174	Nga An
9	Thanh Hóa	21035	Nga Sơn
9	Thanh Hóa	9188	Nga Thắng
9	Thanh Hóa	9483	Nghi Sơn
9	Thanh Hóa	9208	Ngọc Lặc
9	Thanh Hóa	9209	Ngọc Liên
9	Thanh Hóa	9491	Ngọc Sơn
9	Thanh Hóa	9362	Ngọc Trạo
9	Thanh Hóa	9212	Nguyệt Ấn
9	Thanh Hóa	9154	Nguyệt Viên
9	Thanh Hóa	9167	Nhi Sơn
9	Thanh Hóa	9220	Như Thanh
9	Thanh Hóa	9253	Như Xuân
9	Thanh Hóa	21039	Nông Cống
9	Thanh Hóa	9293	Phú Lệ
9	Thanh Hóa	9297	Phú Xuân
9	Thanh Hóa	9007	Pù Luông
9	Thanh Hóa	9168	Pù Nhi
9	Thanh Hóa	9313	Quan Sơn
9	Thanh Hóa	9316	Quảng Bình
9	Thanh Hóa	9169	Quang Chiểu
9	Thanh Hóa	9319	Quảng Chính
9	Thanh Hóa	9336	Quảng Ngọc
9	Thanh Hóa	9339	Quảng Ninh
9	Thanh Hóa	9341	Quảng Phú
9	Thanh Hóa	9017	Quang Trung
9	Thanh Hóa	9355	Quảng Yên
9	Thanh Hóa	9595	Quý Lộc
9	Thanh Hóa	9003	Quý Lương
9	Thanh Hóa	9356	Sầm Sơn
9	Thanh Hóa	9413	Sao Vàng
9	Thanh Hóa	9306	Sơn Điện
9	Thanh Hóa	9309	Sơn Thủy
9	Thanh Hóa	9170	Tam Chung
9	Thanh Hóa	9310	Tam Lư
9	Thanh Hóa	9311	Tam Thanh
9	Thanh Hóa	9489	Tân Dân
9	Thanh Hóa	21063	Tân Ninh
9	Thanh Hóa	9452	Tân Thành
9	Thanh Hóa	9193	Tân Tiến
9	Thanh Hóa	9575	Tây Đô
9	Thanh Hóa	9363	Thạch Bình
9	Thanh Hóa	9217	Thạch Lập
9	Thanh Hóa	9369	Thạch Quảng
9	Thanh Hóa	9270	Thăng Bình
9	Thanh Hóa	9462	Thắng Lộc
9	Thanh Hóa	9274	Thắng Lợi
9	Thanh Hóa	9228	Thanh Kỳ
9	Thanh Hóa	9245	Thanh Phong
9	Thanh Hóa	9246	Thanh Quân
9	Thanh Hóa	9386	Thành Vinh
9	Thanh Hóa	9300	Thiên Phủ
9	Thanh Hóa	9009	Thiết Ống
9	Thanh Hóa	9516	Thiệu Hóa
9	Thanh Hóa	9517	Thiệu Quang
9	Thanh Hóa	9522	Thiệu Tiến
9	Thanh Hóa	9523	Thiệu Toán
9	Thanh Hóa	9524	Thiệu Trung
9	Thanh Hóa	9550	Thọ Bình
9	Thanh Hóa	9418	Thọ Lập
9	Thanh Hóa	9419	Thọ Long
9	Thanh Hóa	9553	Thọ Ngọc
9	Thanh Hóa	9554	Thọ Phú
9	Thanh Hóa	21052	Thọ Xuân
9	Thanh Hóa	9249	Thượng Ninh
9	Thanh Hóa	21060	Thường Xuân
9	Thanh Hóa	21042	Tiên Trang
9	Thanh Hóa	9474	Tĩnh Gia
9	Thanh Hóa	9066	Tống Sơn
9	Thanh Hóa	9102	Triệu Lộc
9	Thanh Hóa	21062	Triệu Sơn
9	Thanh Hóa	9495	Trúc Lâm
9	Thanh Hóa	9273	Trung Chính
9	Thanh Hóa	9312	Trung Hạ
9	Thanh Hóa	9172	Trung Lý
9	Thanh Hóa	9301	Trung Sơn
9	Thanh Hóa	9302	Trung Thành
9	Thanh Hóa	9496	Trường Lâm
9	Thanh Hóa	9277	Trường Văn
9	Thanh Hóa	9280	Tượng Lĩnh
9	Thanh Hóa	9388	Vân Du
9	Thanh Hóa	9092	Vạn Lộc
9	Thanh Hóa	9010	Văn Nho
9	Thanh Hóa	9160	Văn Phú
9	Thanh Hóa	9454	Vạn Xuân
9	Thanh Hóa	21065	Vĩnh Lộc
9	Thanh Hóa	9250	Xuân Bình
9	Thanh Hóa	9457	Xuân Chinh
9	Thanh Hóa	9230	Xuân Du
9	Thanh Hóa	9428	Xuân Hòa
9	Thanh Hóa	9433	Xuân Lập
9	Thanh Hóa	9233	Xuân Thái
9	Thanh Hóa	9443	Xuân Tín
9	Thanh Hóa	9594	Yên Định
9	Thanh Hóa	9163	Yên Khương
9	Thanh Hóa	9465	Yên Nhân
9	Thanh Hóa	9601	Yên Ninh
9	Thanh Hóa	9603	Yên Phú
9	Thanh Hóa	9164	Yên Thắng
9	Thanh Hóa	9236	Yên Thọ
9	Thanh Hóa	9609	Yên Trường
10	Thái Nguyên	9909	An Khánh
10	Thái Nguyên	2614	Ba Bể
10	Thái Nguyên	10037	Bá Xuyên
10	Thái Nguyên	2634	Bắc Kạn
10	Thái Nguyên	10040	Bách Quang
10	Thái Nguyên	2639	Bạch Thông
10	Thái Nguyên	21093	Bằng Thành
10	Thái Nguyên	2711	Bằng Vân
10	Thái Nguyên	9940	Bình Thành
10	Thái Nguyên	9941	Bình Yên
10	Thái Nguyên	2636	Cẩm Giàng
10	Thái Nguyên	7688	Cao Minh
10	Thái Nguyên	2655	Chợ Đồn
10	Thái Nguyên	21089	Chợ Mới
10	Thái Nguyên	2616	Chợ Rã
10	Thái Nguyên	2690	Côn Minh
10	Thái Nguyên	2692	Cường Lợi
10	Thái Nguyên	10076	Dân Tiến
10	Thái Nguyên	9917	Đại Phúc
10	Thái Nguyên	9911	Đại Từ
10	Thái Nguyên	10003	Điềm Thụy
10	Thái Nguyên	9943	Định Hóa
10	Thái Nguyên	9966	Đồng Hỷ
10	Thái Nguyên	2619	Đồng Phúc
10	Thái Nguyên	9914	Đức Lương
10	Thái Nguyên	21088	Đức Xuân
10	Thái Nguyên	10050	Gia Sàng
10	Thái Nguyên	2714	Hiệp Lực
10	Thái Nguyên	10025	Hợp Thành
10	Thái Nguyên	10008	Kha Sơn
10	Thái Nguyên	9947	Kim Phượng
10	Thái Nguyên	9920	La Bằng
10	Thái Nguyên	10078	La Hiên
10	Thái Nguyên	9949	Lam Vỹ
10	Thái Nguyên	21179	Linh Sơn
10	Thái Nguyên	21091	Nà Phặc
10	Thái Nguyên	2710	Na Rì
10	Thái Nguyên	2662	Nam Cường
10	Thái Nguyên	9974	Nam Hòa
10	Thái Nguyên	2720	Ngân Sơn
10	Thái Nguyên	2663	Nghĩa Tá
