province_id | province_name   | ward_id | ward_name               | data_full_count | data_no_full_count | total_count
4           | Vĩnh Long       | 1854    | Quới An                 | 7               | 1                  | 8          
4           | Vĩnh Long       | 2987    | Quới Điền               | 3               | 0                  | 3          
4           | Vĩnh Long       | 1855    | Quới Thiện              | 0               | 0                  | 0          
4           | Vĩnh Long       | 2895    | Sơn Đông                | 56              | 30                 | 86         
4           | Vĩnh Long       | 10464   | Song Lộc               | 9               | 2                  | 11         
4           | Vĩnh Long       | 1821    | Song Phú                | 33              | 9                  | 42         
4           | Vĩnh Long       | 20727   | Tam Bình                | 22              | 1                  | 23         
4           | Vĩnh Long       | 10438   | Tam Ngãi               | 1               | 0                  | 1          
4           | Vĩnh Long       | 10429   | Tân An                  | 0               | 2                  | 2          
4           | Vĩnh Long       | 1793    | Tân Hạnh               | 120             | 39                 | 159        
4           | Vĩnh Long       | 2970    | Tân Hào                 | 1               | 1                  | 2          
4           | Vĩnh Long       | 10482   | Tân Hoà                | 3               | 1                  | 4          
4           | Vĩnh Long       | 1808    | Tân Long Hội            | 10              | 3                  | 13         
4           | Vĩnh Long       | 10896   | Tân Lược               | 10              | 4                  | 14         
4           | Vĩnh Long       | 1840    | Tân Ngãi                | 145             | 30                 | 175        
4           | Vĩnh Long       | 2937    | Tân Phú                 | 15              | 3                  | 18         
4           | Vĩnh Long       | 10897   | Tân Quới                | 15              | 8                  | 23         
4           | Vĩnh Long       | 10933   | Tân Thành Bình          | 8               | 3                  | 11         
4           | Vĩnh Long       | 2884    | Tân Thủy                | 1               | 0                  | 1          
4           | Vĩnh Long       | 2885    | Tân Xuân                | 2               | 1                  | 3          
4           | Vĩnh Long       | 10484   | Tập Ngãi              | 1               | 0                  | 1          
4           | Vĩnh Long       | 10497   | Tập Sơn                | 1               | 0                  | 1          
4           | Vĩnh Long       | 1794    | Thanh Đức              | 152             | 52                 | 204        
4           | Vĩnh Long       | 2989    | Thạnh Hải               | 3               | 0                  | 3          
4           | Vĩnh Long       | 2991    | Thạnh Phong             | 1               | 0                  | 1          
4           | Vĩnh Long       | 20680   | Thạnh Phú               | 14              | 8                  | 22         
4           | Vĩnh Long       | 2915    | Thạnh Phước             | 3               | 0                  | 3          
4           | Vĩnh Long       | 10965   | Thành Thới              | 3               | 5                  | 8          
4           | Vĩnh Long       | 2916    | Thạnh Trị               | 5               | 5                  | 10         
4           | Vĩnh Long       | 2918    | Thới Thuận              | 1               | 1                  | 2          
4           | Vĩnh Long       | 2941    | Tiên Thủy               | 15              | 6                  | 21         
4           | Vĩnh Long       | 20718   | Tiểu Cần              | 5               | 1                  | 6          
4           | Vĩnh Long       | 1835    | Trà Côn                 | 15              | 2                  | 17         
4           | Vĩnh Long       | 20722   | Trà Cú                | 1               | 3                  | 4          
4           | Vĩnh Long       | 1834    | Trà Ôn                  | 8               | 0                  | 8          
4           | Vĩnh Long       | 20699   | Trà Vinh               | 17              | 13                 | 30         
4           | Vĩnh Long       | 1861    | Trung Hiệp              | 2               | 1                  | 3          
4           | Vĩnh Long       | 1863    | Trung Ngãi              | 9               | 3                  | 12         
4           | Vĩnh Long       | 1865    | Trung Thành             | 13              | 3                  | 16         
4           | Vĩnh Long       | 10474   | Trường Long Hoà       | 8               | 1                  | 9          
4           | Vĩnh Long       | 10453   | Vinh Kim                | 0               | 1                  | 1          
4           | Vĩnh Long       | 2952    | Vĩnh Thành              | 4               | 6                  | 10         
4           | Vĩnh Long       | 1836    | Vĩnh Xuân              | 4               | 0                  | 4          
5           | Tuyên Quang     | 20789   | An Tường                | 10              | 4                  | 14         
5           | Tuyên Quang     | 3722    | Bắc Mê                  | 0               | 0                  | 0          
5           | Tuyên Quang     | 3740    | Bắc Quang               | 1               | 0                  | 1          
5           | Tuyên Quang     | 3868    | Bạch Đích               | 0               | 0                  | 0          
5           | Tuyên Quang     | 3827    | Bạch Ngọc               | 0               | 0                  | 0          
5           | Tuyên Quang     | 10534   | Bạch Xa                 | 0               | 0                  | 0          
5           | Tuyên Quang     | 3773    | Bản Máy                 | 0               | 0                  | 0          
5           | Tuyên Quang     | 3723    | Bằng Hành               | 0               | 0                  | 0          
5           | Tuyên Quang     | 21072   | Bằng Lang               | 0               | 0                  | 0          
5           | Tuyên Quang     | 10505   | Bình An                 | 0               | 0                  | 0          
5           | Tuyên Quang     | 10598   | Bình Ca                 | 0               | 0                  | 0          
5           | Tuyên Quang     | 20793   | Bình Thuận              | 3               | 0                  | 3          
5           | Tuyên Quang     | 10536   | Bình Xa                 | 0               | 0                  | 0          
5           | Tuyên Quang     | 3815    | Cán Tỷ                  | 0               | 0                  | 0          
5           | Tuyên Quang     | 3828    | Cao Bồ                  | 0               | 0                  | 0          
5           | Tuyên Quang     | 10529   | Chiêm Hóa               | 0               | 0                  | 0          
5           | Tuyên Quang     | 10552   | Côn Lôn                 | 0               | 0                  | 0          
5           | Tuyên Quang     | 3870    | Du Già                  | 0               | 0                  | 0          
5           | Tuyên Quang     | 3724    | Đồng Tâm                | 0               | 0                  | 0          
5           | Tuyên Quang     | 10579   | Đông Thọ                | 0               | 0                  | 0          
5           | Tuyên Quang     | 21064   | Đồng Văn                | 2               | 2                  | 4          
5           | Tuyên Quang     | 3727    | Đồng Yên                | 0               | 0                  | 0          
5           | Tuyên Quang     | 3711    | Đường Hồng              | 0               | 0                  | 0          
5           | Tuyên Quang     | 3872    | Đường Thượng            | 0               | 0                  | 0          
5           | Tuyên Quang     | 3712    | Giáp Trung              | 0               | 0                  | 0          
5           | Tuyên Quang     | 3767    | Hà Giang 1              | 6               | 0                  | 6          
5           | Tuyên Quang     | 3766    | Hà Giang 2              | 5               | 0                  | 5          
5           | Tuyên Quang     | 10545   | Hàm Yên                 | 1               | 0                  | 1          
5           | Tuyên Quang     | 3779    | Hồ Thầu                 | 1               | 0                  | 1          
5           | Tuyên Quang     | 10524   | Hòa An                  | 0               | 0                  | 0          
5           | Tuyên Quang     | 3796    | Hoàng Su Phì            | 2               | 0                  | 2          
5           | Tuyên Quang     | 10575   | Hồng Sơn                | 1               | 0                  | 1          
5           | Tuyên Quang     | 10554   | Hồng Thái               | 0               | 0                  | 0          
5           | Tuyên Quang     | 3729    | Hùng An                 | 0               | 0                  | 0          
5           | Tuyên Quang     | 10538   | Hùng Đức                | 0               | 0                  | 0          
5           | Tuyên Quang     | 10621   | Hùng Lợi                | 0               | 0                  | 0          
5           | Tuyên Quang     | 3799    | Khâu Vai                | 0               | 0                  | 0          
5           | Tuyên Quang     | 3856    | Khuôn Lùng              | 0               | 0                  | 0          
5           | Tuyên Quang     | 10513   | Kiên Đài                | 0               | 0                  | 0          
5           | Tuyên Quang     | 10622   | Kiến Thiết              | 0               | 0                  | 0          
5           | Tuyên Quang     | 10514   | Kim Bình                | 5               | 0                  | 5          
5           | Tuyên Quang     | 20835   | Lâm Bình                | 0               | 0                  | 0          
5           | Tuyên Quang     | 3832    | Lao Chải                | 0               | 0                  | 0          
5           | Tuyên Quang     | 3732    | Liên Hiệp               | 0               | 0                  | 0          
5           | Tuyên Quang     | 3833    | Linh Hồ                 | 0               | 0                  | 0          
5           | Tuyên Quang     | 10626   | Lực Hành                | 0               | 0                  | 0          
5           | Tuyên Quang     | 3747    | Lũng Cú                 | 2               | 0                  | 2          
5           | Tuyên Quang     | 3748    | Lũng Phìn               | 0               | 0                  | 0          
5           | Tuyên Quang     | 3818    | Lùng Tám                | 0               | 0                  | 0          
5           | Tuyên Quang     | 3876    | Mậu Duệ                 | 0               | 0                  | 0          
5           | Tuyên Quang     | 21068   | Mèo Vạc                 | 2               | 0                  | 2          
5           | Tuyên Quang     | 3714    | Minh Ngọc               | 0               | 0                  | 0          
5           | Tuyên Quang     | 10516   | Minh Quang              | 0               | 0                  | 0          
5           | Tuyên Quang     | 3715    | Minh Sơn                | 0               | 0                  | 0          
5           | Tuyên Quang     | 3834    | Minh Tân                | 0               | 0                  | 0          
5           | Tuyên Quang     | 10587   | Minh Thanh              | 0               | 0                  | 0          
5           | Tuyên Quang     | 10606   | Minh Xuân               | 16              | 6                  | 22         
5           | Tuyên Quang     | 20825   | Mỹ Lâm                  | 6               | 0                  | 6          
5           | Tuyên Quang     | 20842   | Nà Hang                 | 0               | 0                  | 0          
5           | Tuyên Quang     | 3858    | Nấm Dẩn                 | 0               | 0                  | 0          
5           | Tuyên Quang     | 3780    | Nậm Dịch                | 0               | 0                  | 0          
