province_id	province_name	ward_id	ward_name	total_uploaded
5	Tuyên Quang	10554	Hồng Thái	0
5	Tuyên Quang	10565	Thượng Nông	0
5	Tuyên Quang	10572	Yên Hoa	0
5	Tuyên Quang	10575	Hồng Sơn	0
5	Tuyên Quang	10579	Đông Thọ	0
5	Tuyên Quang	10587	Minh Thanh	0
5	Tuyên Quang	10588	Sơn Thủy	0
5	Tuyên Quang	10589	Phú Lương	0
5	Tuyên Quang	10595	Tân Trào	0
5	Tuyên Quang	10598	Bình Ca	0
5	Tuyên Quang	10606	Minh Xuân	3
5	Tuyên Quang	10607	Nông Tiến	1
5	Tuyên Quang	10621	Hùng Lợi	0
5	Tuyên Quang	10622	Kiến Thiết	0
5	Tuyên Quang	10626	Lực Hành	0
5	Tuyên Quang	10630	Nhữ Khê	0
5	Tuyên Quang	10632	Thái Bình	0
5	Tuyên Quang	10636	Tân Long	0
5	Tuyên Quang	10645	Trung Sơn	0
5	Tuyên Quang	10648	Xuân Vân	0
5	Tuyên Quang	20789	An Tường	0
5	Tuyên Quang	20793	Bình Thuận	0
5	Tuyên Quang	20825	Mỹ Lâm	1
5	Tuyên Quang	20835	Lâm Bình	0
5	Tuyên Quang	20838	Thượng Lâm	0
5	Tuyên Quang	20842	Nà Hang	0
5	Tuyên Quang	20847	Tân Thanh	0
5	Tuyên Quang	20848	Trường Sinh	0
5	Tuyên Quang	20849	Sơn Dương	0
5	Tuyên Quang	20857	Yên Sơn	0
5	Tuyên Quang	21064	Đồng Văn	1
5	Tuyên Quang	21068	Mèo Vạc	0
5	Tuyên Quang	21070	Quang Bình	0
5	Tuyên Quang	21072	Bằng Lang	0
5	Tuyên Quang	21077	Tân Trịnh	0
5	Tuyên Quang	21078	Tiên Nguyên	0
5	Tuyên Quang	21079	Tiên Yên	0
5	Tuyên Quang	21081	Xuân Giang	0
5	Tuyên Quang	21084	Yên Thành	0
5	Tuyên Quang	21085	Vị Xuyên	1
5	Tuyên Quang	21086	Xín Mần	0
5	Tuyên Quang	21087	Yên Minh	0
8	TP Huế	10100	A Lưới 4	0
8	TP Huế	10110	A Lưới 1	0
8	TP Huế	10114	A Lưới 5	0
8	TP Huế	10115	Hóa Châu	0
8	TP Huế	10118	A Lưới 3	0
8	TP Huế	10119	An Cựu	32
8	TP Huế	10130	Thuận Hóa	24
8	TP Huế	10140	Thủy Xuân	28
8	TP Huế	10143	Vỹ Dạ	12
8	TP Huế	10146	Phú Bài	6
8	TP Huế	10150	Thanh Thủy	9
8	TP Huế	10151	Hương Thủy	1
8	TP Huế	10161	Hương An	3
8	TP Huế	10162	Bình Điền	0
8	TP Huế	10170	Kim Trà	3
8	TP Huế	10171	Hương Trà	1
8	TP Huế	10178	Khe Tre	0
8	TP Huế	10182	Long Quảng	0
8	TP Huế	10188	Phong Thái	0
8	TP Huế	10191	Phong Quảng	0
8	TP Huế	10193	Phong Dinh	0
8	TP Huế	10196	Phong Điền	1
8	TP Huế	10198	Chân Mây - Lăng Cô	1
8	TP Huế	10203	Hưng Lộc	0
8	TP Huế	10211	Vinh Lộc	0
8	TP Huế	10215	Phú Vang	2
8	TP Huế	10216	Phú Vinh	0
8	TP Huế	10217	Dương Nỗ	0
8	TP Huế	10221	Phong Phú	0
8	TP Huế	10223	Mỹ Thượng	1
8	TP Huế	10224	Phú Hồ	2
8	TP Huế	10225	Thuận An	0
8	TP Huế	10240	Quảng Điền	0
8	TP Huế	21289	Phú Xuân	1
8	TP Huế	21290	Kim Long	3
8	TP Huế	21293	A Lưới 2	0
8	TP Huế	21300	Nam Đông	0
8	TP Huế	21328	Lộc An	1
8	TP Huế	21331	Phú Lộc	0
8	TP Huế	21375	Đan Điền	0
9	Thanh Hóa	8990	Bá Thước	2
9	Thanh Hóa	8991	Cổ Lũng	1
9	Thanh Hóa	8993	Điền Lư	8
9	Thanh Hóa	8994	Điền Quang	2
9	Thanh Hóa	9003	Quý Lương	1
9	Thanh Hóa	9007	Pù Luông	4
9	Thanh Hóa	9009	Thiết Ống	2
9	Thanh Hóa	9010	Văn Nho	1
9	Thanh Hóa	9015	Bỉm Sơn	8
9	Thanh Hóa	9017	Quang Trung	14
9	Thanh Hóa	9030	Cẩm Tân	1
9	Thanh Hóa	9031	Cẩm Thạch	4
9	Thanh Hóa	9033	Cẩm Tú	5
9	Thanh Hóa	9034	Cẩm Vân	4
9	Thanh Hóa	9051	Đông Tiến	14
9	Thanh Hóa	9056	Đông Sơn	106
9	Thanh Hóa	9066	Tống Sơn	3
9	Thanh Hóa	9067	Hà Long	10
9	Thanh Hóa	9085	Đông Thành	1
9	Thanh Hóa	9088	Hoa Lộc	4
9	Thanh Hóa	9092	Vạn Lộc	4
9	Thanh Hóa	9102	Triệu Lộc	1
9	Thanh Hóa	9106	Hoằng Hóa	9
9	Thanh Hóa	9109	Hoằng Châu	2
9	Thanh Hóa	9116	Hoằng Giang	3
9	Thanh Hóa	9123	Hoằng Lộc	5
9	Thanh Hóa	9132	Hoằng Phú	2
9	Thanh Hóa	9138	Hoằng Sơn	1
9	Thanh Hóa	9143	Hoằng Thanh	14
9	Thanh Hóa	9145	Hoằng Tiến	22
9	Thanh Hóa	9154	Nguyệt Viên	13
9	Thanh Hóa	9155	Đồng Lương	0
9	Thanh Hóa	9156	Giao An	0
9	Thanh Hóa	9159	Linh Sơn	3
9	Thanh Hóa	9160	Văn Phú	0
9	Thanh Hóa	9163	Yên Khương	0
